epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2587.41,1.27478,6.41503,1.52275,0.80333,0.84432,0.8845,0.51855,1.49786,8.81446,1.55082,0.00648071,0.00648071,0.00648071
63,2628.01,1.31631,6.68239,1.4752,0.79795,0.83006,0.90207,0.57043,1.29466,7.73318,1.47742,0.00638115,0.00638115,0.00638115
64,2668.58,1.2621,6.61978,1.48973,0.79594,0.75368,0.84035,0.53228,1.42128,8.61172,1.53486,0.00628101,0.00628101,0.00628101
65,2710.3,1.28472,6.58471,1.55373,0.8147,0.79163,0.8347,0.52802,1.40732,8.83737,1.54309,0.00618034,0.00618034,0.00618034
66,2751.98,1.21482,6.15393,1.51118,0.83578,0.83719,0.87297,0.5662,1.24399,7.42728,1.45653,0.00607916,0.00607916,0.00607916
67,2793.48,1.26132,6.29284,1.49016,0.86647,0.81824,0.88112,0.56467,1.26955,7.45249,1.44543,0.00597754,0.00597754,0.00597754
68,2833.59,1.27269,6.48131,1.46853,0.78749,0.86051,0.8942,0.57189,1.32167,7.53757,1.47573,0.00587551,0.00587551,0.00587551
69,2874.83,1.23506,6.09647,1.47536,0.84963,0.83225,0.89187,0.56606,1.33045,7.60923,1.51463,0.00577311,0.00577311,0.00577311
70,2919.73,1.21229,6.19832,1.50817,0.8297,0.84867,0.86288,0.56423,1.29987,7.41471,1.52181,0.0056704,0.0056704,0.0056704
71,2965.41,1.19081,5.94386,1.45996,0.8388,0.84427,0.88075,0.58135,1.29905,7.09842,1.51625,0.00556742,0.00556742,0.00556742
72,3009.14,1.1923,5.96804,1.5315,0.90198,0.80837,0.92697,0.64012,1.18784,6.73954,1.49043,0.00546421,0.00546421,0.00546421
73,3052.19,1.22995,6.28393,1.47831,0.84483,0.82531,0.91831,0.61239,1.22235,6.85955,1.51183,0.00536081,0.00536081,0.00536081
74,3094.69,1.20337,6.09056,1.48538,0.83064,0.82794,0.88543,0.58246,1.29306,7.41379,1.55051,0.00525728,0.00525728,0.00525728
75,3141.38,1.20774,5.95586,1.5084,0.80296,0.90868,0.88953,0.59609,1.22192,7.18432,1.5101,0.00515366,0.00515366,0.00515366
76,3186.91,1.16001,5.80308,1.48206,0.8481,0.86197,0.88962,0.58942,1.24566,7.10034,1.50542,0.00505,0.00505,0.00505
77,3228.14,1.16032,5.70021,1.48125,0.79957,0.84602,0.88681,0.58711,1.2423,6.91078,1.49034,0.00494634,0.00494634,0.00494634
78,3268.68,1.15862,5.78921,1.49207,0.82176,0.82171,0.89334,0.59393,1.22363,7.00912,1.46023,0.00484272,0.00484272,0.00484272
79,3309.55,1.13838,5.59234,1.47867,0.86033,0.87488,0.90113,0.61096,1.20798,6.7937,1.4598,0.00473919,0.00473919,0.00473919
80,3350.14,1.14223,5.8207,1.45202,0.83575,0.90147,0.90635,0.6027,1.20735,6.76739,1.45927,0.00463579,0.00463579,0.00463579
81,3391.6,1.13372,5.7551,1.49314,0.83633,0.84544,0.89178,0.60489,1.19683,6.92523,1.46641,0.00453258,0.00453258,0.00453258
82,3432.91,1.16971,5.65876,1.4709,0.81686,0.81994,0.8642,0.60594,1.20723,7.33988,1.46999,0.0044296,0.0044296,0.0044296
83,3473.37,1.13896,5.82873,1.43524,0.85433,0.7713,0.85076,0.58069,1.27262,7.72378,1.48963,0.00432689,0.00432689,0.00432689
84,3514.54,1.16798,5.78933,1.51751,0.81382,0.85229,0.8974,0.62312,1.18459,6.94623,1.48811,0.00422449,0.00422449,0.00422449
85,3555.05,1.06218,5.45711,1.49132,0.8106,0.87041,0.90166,0.61409,1.20596,6.72296,1.50028,0.00412246,0.00412246,0.00412246
86,3595.78,1.15746,5.6154,1.43292,0.82259,0.86092,0.89954,0.60666,1.21627,6.86031,1.51769,0.00402084,0.00402084,0.00402084
87,3637.5,1.07761,5.34945,1.46065,0.85874,0.77683,0.88946,0.56871,1.30622,7.4512,1.56186,0.00391966,0.00391966,0.00391966
88,5238.6,1.11716,5.58814,1.50562,0.88449,0.81905,0.89913,0.61112,1.1591,6.87876,1.47918,0.00381899,0.00381899,0.00381899
89,5278.03,1.12713,5.62572,1.4436,0.84325,0.82389,0.88193,0.60632,1.21079,7.10186,1.48667,0.00371885,0.00371885,0.00371885
90,5316.05,1.11639,5.48706,1.44678,0.81779,0.8799,0.9045,0.62629,1.14292,6.75469,1.45698,0.00361929,0.00361929,0.00361929
91,5356.12,1.09703,5.33176,1.42388,0.80773,0.83515,0.87632,0.60081,1.17855,7.19877,1.46349,0.00352037,0.00352037,0.00352037
92,5394.63,1.06102,5.13276,1.45705,0.82433,0.86636,0.90027,0.61225,1.22376,6.9849,1.50169,0.00342211,0.00342211,0.00342211
93,5434.55,1.06767,5.17406,1.43491,0.85596,0.84138,0.895,0.61643,1.18362,6.45249,1.4567,0.00332457,0.00332457,0.00332457
94,5475.25,1.05795,5.05408,1.44303,0.82502,0.86013,0.91353,0.6213,1.15016,6.45853,1.44563,0.00322778,0.00322778,0.00322778
95,5516.49,1.04999,5.23087,1.44209,0.86439,0.83996,0.92321,0.62936,1.1699,6.55514,1.4729,0.0031318,0.0031318,0.0031318
96,5562.78,1.0527,5.09149,1.4574,0.90367,0.79791,0.90316,0.61057,1.22789,6.92364,1.46299,0.00303665,0.00303665,0.00303665
97,5606.48,1.09113,5.19388,1.47014,0.90175,0.76893,0.87258,0.57192,1.31849,7.1571,1.49193,0.00294239,0.00294239,0.00294239
