epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,7383.53,1.34131,7.12399,1.89263,0.79467,0.89908,0.86915,0.52419,1.36982,8.15747,1.83681,0.00648071,0.00648071,0.00648071
63,7482.32,1.37099,7.16876,1.85238,0.83901,0.85732,0.92274,0.6324,1.2036,7.17179,1.75852,0.00638115,0.00638115,0.00638115
64,7582.24,1.28079,6.74383,1.79608,0.8224,0.84442,0.92082,0.59089,1.28813,7.11291,1.84409,0.00628101,0.00628101,0.00628101
65,7681.43,1.29846,6.89217,1.86504,0.83656,0.83334,0.90345,0.605,1.2305,7.25966,1.79059,0.00618034,0.00618034,0.00618034
66,7782.24,1.32336,6.83308,1.86782,0.83433,0.80411,0.8961,0.56924,1.34622,8.12567,1.83415,0.00607916,0.00607916,0.00607916
67,7880.29,1.25655,6.67955,1.81174,0.84421,0.82873,0.89513,0.55721,1.33082,7.88154,1.85185,0.00597754,0.00597754,0.00597754
68,7978.37,1.31623,7.12092,1.86059,0.86647,0.82818,0.92148,0.57915,1.34052,7.56549,1.9288,0.00587551,0.00587551,0.00587551
69,8076.91,1.23894,6.42941,1.80714,0.86421,0.85816,0.91451,0.59427,1.25046,7.29634,1.87441,0.00577311,0.00577311,0.00577311
70,8177.09,1.23549,6.5766,1.84272,0.85355,0.86385,0.90749,0.60369,1.2241,7.0913,1.79901,0.0056704,0.0056704,0.0056704
71,8275.38,1.22253,6.42343,1.82895,0.88665,0.8142,0.91305,0.63194,1.20748,7.43624,1.75951,0.00556742,0.00556742,0.00556742
72,8373.84,1.24089,6.43091,1.82465,0.82955,0.87468,0.90631,0.61402,1.20508,7.47933,1.77335,0.00546421,0.00546421,0.00546421
73,8473.13,1.26923,6.53454,1.78227,0.86234,0.82961,0.88893,0.55813,1.35349,7.48687,1.90049,0.00536081,0.00536081,0.00536081
74,8579.85,1.24126,6.42761,1.81465,0.85735,0.87893,0.91784,0.62838,1.18461,6.74394,1.77476,0.00525728,0.00525728,0.00525728
75,8719.27,1.19633,6.08556,1.80292,0.81667,0.86835,0.89739,0.58839,1.2994,7.35328,1.79921,0.00515366,0.00515366,0.00515366
76,8819.26,1.19929,5.93766,1.82983,0.83308,0.89373,0.9243,0.63081,1.18955,6.96552,1.76432,0.00505,0.00505,0.00505
77,8919.87,1.22154,5.94992,1.82649,0.85558,0.83179,0.91698,0.6369,1.22337,7.24368,1.80375,0.00494634,0.00494634,0.00494634
78,9021.28,1.20889,5.97437,1.87693,0.83703,0.86891,0.9042,0.59868,1.22901,7.04109,1.82123,0.00484272,0.00484272,0.00484272
79,9121.46,1.2298,6.03026,1.84035,0.86297,0.87849,0.91974,0.62913,1.20059,6.68961,1.7928,0.00473919,0.00473919,0.00473919
80,9224.99,1.21112,6.06472,1.75605,0.86974,0.88708,0.93433,0.64939,1.20297,6.69905,1.78149,0.00463579,0.00463579,0.00463579
81,9325.04,1.15031,5.66972,1.77678,0.86331,0.90532,0.93741,0.64914,1.18366,6.2048,1.74781,0.00453258,0.00453258,0.00453258
82,9425.65,1.19371,5.8532,1.79896,0.85407,0.89636,0.93561,0.64323,1.17671,6.79102,1.75625,0.0044296,0.0044296,0.0044296
83,9524.73,1.22928,6.23716,1.83027,0.87277,0.8747,0.93412,0.65894,1.13645,6.46843,1.77902,0.00432689,0.00432689,0.00432689
84,9624.27,1.19319,5.96623,1.81798,0.9448,0.87064,0.94439,0.67056,1.14141,6.03614,1.79151,0.00422449,0.00422449,0.00422449
85,9722.94,1.15185,5.65366,1.83649,0.91666,0.84863,0.94415,0.65165,1.15128,6.06643,1.77312,0.00412246,0.00412246,0.00412246
86,9823.73,1.1543,5.63348,1.76845,0.88439,0.83569,0.9247,0.65744,1.15125,6.35405,1.79871,0.00402084,0.00402084,0.00402084
87,9923.68,1.14041,5.89992,1.85515,0.85572,0.83561,0.91842,0.66108,1.15482,6.67447,1.7912,0.00391966,0.00391966,0.00391966
88,10022.9,1.17166,5.85179,1.86639,0.88914,0.87371,0.94131,0.6629,1.16859,6.26356,1.77592,0.00381899,0.00381899,0.00381899
89,10122.7,1.19958,5.84257,1.78978,0.88647,0.86983,0.91199,0.63364,1.18721,6.40929,1.79169,0.00371885,0.00371885,0.00371885
90,10222.5,1.16176,6.02639,1.79755,0.86537,0.86615,0.91122,0.61448,1.23579,6.90695,1.86381,0.00361929,0.00361929,0.00361929
91,10322.9,1.14459,5.83075,1.79904,0.86309,0.88245,0.91813,0.65521,1.15837,6.75115,1.79481,0.00352037,0.00352037,0.00352037
92,10420.8,1.15542,5.76356,1.78177,0.84515,0.89574,0.92952,0.67578,1.11236,6.36472,1.75537,0.00342211,0.00342211,0.00342211
93,10521.2,1.14953,5.50621,1.75993,0.91704,0.87369,0.94827,0.67599,1.11398,5.89266,1.74922,0.00332457,0.00332457,0.00332457
94,10620.3,1.13021,5.59214,1.80274,0.88295,0.89443,0.94483,0.67128,1.14067,5.92985,1.77939,0.00322778,0.00322778,0.00322778
95,10720.1,1.12085,5.59632,1.77945,0.89305,0.89046,0.95053,0.67798,1.14235,6.12107,1.77511,0.0031318,0.0031318,0.0031318
96,10820.8,1.12393,5.58767,1.7661,0.875,0.89419,0.941,0.67576,1.15312,6.22346,1.77963,0.00303665,0.00303665,0.00303665
97,10921.3,1.13829,5.4317,1.85244,0.90281,0.88644,0.94197,0.67103,1.15291,6.03147,1.77498,0.00294239,0.00294239,0.00294239
98,11020.4,1.15123,5.51251,1.80033,0.88781,0.88724,0.94474,0.67164,1.14428,6.0044,1.77273,0.00284906,0.00284906,0.00284906
99,11121.8,1.10244,5.29491,1.77662,0.90267,0.88384,0.94981,0.6737,1.15104,6.09999,1.78773,0.00275668,0.00275668,0.00275668
100,11222.3,1.09331,5.35344,1.72897,0.91979,0.87588,0.94923,0.69084,1.13974,5.87163,1.77857,0.00266532,0.00266532,0.00266532
101,11323.4,1.09943,5.33528,1.77264,0.90795,0.85624,0.9349,0.68165,1.13945,6.03217,1.75046,0.002575,0.002575,0.002575
102,11437,1.10846,5.25303,1.80079,0.8678,0.90543,0.93904,0.66467,1.15528,6.20531,1.76102,0.00248577,0.00248577,0.00248577
103,11540.5,1.10504,5.13964,1.75536,0.89895,0.88695,0.94565,0.66505,1.15874,5.91246,1.77281,0.00239766,0.00239766,0.00239766
